id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,keywords,score
26876,WMKM,medium_airport,Malacca International Airport,2.265613,102.252778,35,Melaka,MY-04,4,Malacca,0,WMKM,WMKM,MKZ,Batu Berendam,250
35209,WMPA,small_airport,Pulau Pangkor Airport,4.244719982,100.5530014,19,Perak,MY-08,8,Pangkor Island,1,WMPA,WMPA,PKG,,150
26872,WMKI,medium_airport,Sultan Azlan Shah Airport,4.567969799,101.0920029,130,Perak,MY-08,8,Ipoh,1,WMKI,WMKI,IPH,,750
26807,WBGB,medium_airport,Bintulu Airport,3.123850107,113.0199966,74,Sarawak,MY-13,13,Bintulu,1,WBGB,WBGB,BTU,,750
26809,WBGJ,medium_airport,Limbang Airport,4.808300018,115.0100021,14,Sarawak,MY-13,13,Limbang,1,WBGJ,WBGJ,LMN,,750
26864,WMBT,medium_airport,Tioman Airport,2.81818,104.160004,15,Pahang,MY-06,6,Tioman Island,1,WMBT,WMBT,TOD,"Kampung Tekek, Sultan Ahmad Shah",750
26813,WBKD,medium_airport,Lahad Datu Airport,5.03241,118.32376,45,Sabah,MY-12,12,Lahad Datu,1,WBKD,WBKD,LDU,,750
30682,WBGZ,medium_airport,Bario Airport,3.734648,115.478548,3350,Sarawak,MY-13,13,Bario,1,WBGZ,WBGZ,BBN,,500
31866,WBGW,small_airport,Lawas Airport,4.84917,115.407997,5,Sarawak,MY-13,13,Lawas,1,WBGW,WBGW,LWY,,150
26871,WMKF,small_airport,Simpang Airport,3.11225009,101.7030029,111,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,WMKF,,,,50
41319,WMPR,small_airport,LTS Pulau Redang Airport,5.764804,103.004942,36,Terengganu,MY-11,11,Redang,0,WMPR,WMPR,RDN,,50
26815,WBKL,medium_airport,Labuan Airport,5.301667,115.248333,101,Labuan (Federal Territory),MY-15,15,Labuan,1,WBKL,WBKL,LBU,,750
26870,WMKE,medium_airport,Kerteh Airport,4.53722,103.427002,18,Terengganu,MY-11,11,Kerteh,0,WMKE,WMKE,KTE,,325
26867,WMKB,medium_airport,RMAF Butterworth Air Base,5.46592,100.390999,11,Penang,MY-07,7,Butterworth,0,WMKB,WMKB,BWH,RAF Butterworth,250
31785,WBKT,small_airport,Kudat Airport,6.924111,116.837068,10,Sabah,MY-12,12,Kudat,1,WBKT,WBKT,KUD,,150
35208,MY-LBP,small_airport,Long Banga Airport,3.202138,115.401811,750,Sarawak,MY-13,13,Long Banga,1,,,LBP,,150
26820,WBTM,small_airport,Tanjung Manis Airport,2.17784,111.202003,15,Sarawak,MY-13,13,Belawai,0,WBTM,WBTM,TGC,,50
